Data,New Cases,New Deaths,Hosp_Patients,Daily Fully Vaccinated,Daily TSA Checkpoint Travelers
3/9/2020,452,4,,,1617220
3/10/2020,515,7,,,1702686
3/11/2020,544,12,,,1788456
3/12/2020,794,7,,,1714372
3/13/2020,979,11,,,1485553
3/14/2020,1360,13,,,1519192
3/15/2020,2256,20,,,1257823
3/16/2020,2464,21,,,953699
3/17/2020,3441,29,,,779631
3/18/2020,5130,69,,,620883
3/19/2020,6395,66,,,593167
3/20/2020,7676,105,,,548132
3/21/2020,9421,113,,,454516
3/22/2020,10968,130,,,331431
3/23/2020,11006,169,,,279018
3/24/2020,11575,220,,,239234
3/25/2020,14286,305,,,203858
3/26/2020,18940,350,,,199644
3/27/2020,20346,492,,,184027
3/28/2020,20659,552,,,180002
3/29/2020,26291,687,,,154080
3/30/2020,15965,649,,,146348
3/31/2020,23559,997,,,136023
4/1/2020,28525,1133,,,124021
4/2/2020,30059,1332,,,129763
